NACA4465 : [60panels,Half cosine x-spacing]
         1 -8.9414e-017                    
   0.99754    0.0024983                    
   0.99018     0.009913                    
   0.97793     0.022009                    
   0.96084     0.038411                    
   0.93896     0.058628                    
    0.9124     0.082079                    
    0.8813      0.10812                    
   0.84587      0.13608                    
   0.80636      0.16524                    
   0.76311       0.1949                    
   0.71649      0.22434                    
   0.66695      0.25283                    
   0.61503      0.27963                    
   0.56128      0.30399                    
   0.50636      0.32515                    
   0.45095      0.34237                    
   0.39542      0.35494                    
    0.3367      0.36174                    
   0.27986      0.36192                    
   0.22593      0.35526                    
   0.17594      0.34175                    
   0.13079       0.3216                    
  0.091261      0.29528                    
  0.057947      0.26341                    
  0.031272      0.22678                    
  0.011466      0.18622                    
-0.0014109      0.14259                    
-0.0074539     0.096637                    
-0.0068794      0.04897                    
         0            0                    
  0.012358    -0.047878                    
  0.029306    -0.092326                    
  0.050354      -0.1331                    
  0.074988     -0.16987                    
    0.1027     -0.20222                    
   0.13304     -0.22977                    
   0.16559     -0.25215                    
   0.20008     -0.26911                    
   0.23627     -0.28055                    
   0.27407     -0.28651                    
   0.31341     -0.28727                    
   0.35428     -0.28322                    
   0.39667     -0.27495                    
   0.44453     -0.26288                    
   0.49364     -0.24737                    
   0.54324     -0.22914                    
   0.59289     -0.20888                    
   0.64206     -0.18723                    
   0.69025      -0.1648                    
   0.73689     -0.14213                    
   0.78142     -0.11972                    
   0.82326    -0.098043                    
   0.86184     -0.07754                    
   0.89662    -0.058641                    
   0.92707    -0.041762                    
   0.95271    -0.027299                    
   0.97312    -0.015616                    
   0.98797   -0.0070259                    
   0.99698   -0.0017696                    
         1  8.9414e-017                    
